instruction : str / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x821c, CPSR = 0x600001d3 / modified register : ['sp'] / memory data : \x4\xb0\x2d\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffffec, LR = 0x85e4, PC = 0x8220, CPSR = 0x600001d3 / modified register : ['fp'] / memory data : \x0\xb0\x8d\xe2
instruction : sub / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffec, LR = 0x85e4, PC = 0x8224, CPSR = 0x600001d3 / modified register : ['sp'] / memory data : \xc\xd0\x4d\xe2
instruction : str / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8228, CPSR = 0x600001d3 / modified register : [] / memory data : \x8\x0\xb\xe5
instruction : str / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x822c, CPSR = 0x600001d3 / modified register : [] / memory data : \xc\x10\xb\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8230, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \xc\x30\x1b\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x24dc0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8234, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x4\x30\x83\xe2
instruction : ldr / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x24dc4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8238, CPSR = 0x600001d3 / modified register : ['r1'] / memory data : \x0\x10\x93\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x0, R3 = 0x24dc4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x823c, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \xc\x30\x1b\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x0, R3 = 0x24dc0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8240, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x8\x30\x83\xe2
